cytoband	8p23.3	12q24.33	1p35.3	8p11.22	2q37.3	19p13.3	6p25.1	2p25.3	9p21.3	16q24.2	1p35.1	22q12.3	7q36.3	11q25	20q13.13	10q26.3	18q23	3p14.2	1q21.3	1p36.32	3q22.3	10p15.3	11p15.4	4q35.2	6q25.3	22q13.32	19p13.12	15q12	17p13.2	21q22.2	17q12	19q12	15q21.3	3q23	2q22.1	6q15	17q25.3	1p33	5q14.3	9q34.3	19q13.33	
																																									ZNF548	
																																									PPM1N	
																																									KLC3	
																																									IGSF23	
																																									LYPD4	
																																									TMEM190	
																																									HIPK4	
																																									TMC4	
																																									LOC147804	
																																									ZNF524	
																																									ZNF784	
																																									CCDC155	
																																									DACT3	
																																									SIX5	
																																									IGFL2	
																																									ZNF420	
																																									ZNF565	
																																									NLRP4	
																																									ZNF542	
																																									ZNF582	
																																									ZNF583	
																																									FAM98C	
																																									CAPN12	
																																									DPY19L3	
																																									LGALS16	
																																									TTC9B	
																																									ZNF599	
																																									FAM187B	
																																									C19orf55	
																																									CDC42EP5	
																																									ZNF569	
																																									ZNF570	
																																									ZNF836	
																																									ZNF610	
																																									ZNF600	
																																									ZNF320	
																																									ZNF497	
																																									ZNF550	
																																									ZNF296	
																																									DEDD2	
																																									ZNF579	
																																									ZNF114	
																																									ZNF567	
																																									ZNF383	
																																									ZNF781	
																																									EID2	
																																									ZNF780B	
																																									LGI4	
																																									C19orf46	
																																									ZNF540	
																																									ZNF525	
																																									SPACA4	
																																									ZNF585A	
																																									NLRP7	
																																									GGN	
																																									CADM4	
																																									THAP8	
																																									U2AF1L4	
																																									C19orf76	
																																									ZNF584	
																																									ZSCAN4	
																																									NLRP11	
																																									TMEM86B	
																																									PRR24	
																																									ZNF549	
																																									NAPSB	
																																									IL4I1	
																																									IL28A	
																																									IL28B	
																																									IL29	
																																									SSC5D	
																																									ZNF547	
																																									ZIK1	
																																									ZNF776	
																																									ZSCAN1	
																																									ZNF780A	
																																									C19orf54	
																																									PRR19	
																																									TMEM145	
																																									CXCL17	
																																									LOC284344	
																																									ZNF575	
																																									LYPD5	
																																									ZNF283	
																																									PPP1R37	
																																									NKPD1	
																																									TPRX1	
																																									MAMSTR	
																																									IZUMO1	
																																									C19orf63	
																																									MGC45922	
																																									KLK9	
																																									SIGLECP3	
																																									C19orf75	
																																									ZNF615	
																																									ZNF841	
																																									LOC284379	
																																									SCGB2B2	
																																									WDR62	
																																									ZFP82	
																																									LOC284408	
																																									LOC284412	
																																									VSTM1	
																																									TMEM150B	
																																									FAM71E2	
																																									HKR1	
																																									VN1R2	
																																									VN1R4	
																																									NLRP9	
																																									ZNF181	
																																									ZNF260	
																																									ZNF546	
																																									MYPOP	
																																									NANOS2	
																																									ZNF850	
																																									NCCRP1	
																																									SYCN	
																																									LEUTX	
																																									ZNF404	
																																									ZNF284	
																																									C19orf81	
																																									ZNF677	
																																									RFPL4A	
																																									ZSCAN5B	
																																									ZSCAN22	
																																									SELV	
																																									ZNF530	
																																									C19orf51	
																																									ZNF233	
																																									LILRA5	
																																									SBSN	
																																									ZNF829	
																																									ZNF568	
																																									B3GNT8	
																																									IGFL1	
																																									ZNF773	
																																									LOC386758	
																																									RGS9BP	
																																									KRTDAP	
																																									ZNF790	
																																									CEACAM22P	
																																									CEACAM16	
																																									BLOC1S3	
																																									LOC388553	
																																									IGFL3	
																																									ZNF808	
																																									ZNF761	
																																									TMEM238	
																																									ZNF470	
																																									ZNF749	
																																									ZNF324B	
																																									NUDT19	
																																									ZNF793	
																																									PAPL	
																																									LOC390940	
																																									ZNF805	
																																									SPRED3	
																																									ZNF321P	
																																									LOC400684	
																																									LOC400685	
																																									LGALS17A	
																																									SIGLEC16	
																																									FLJ26850	
																																									ZNF880	
																																									ZNF772	
																																									IGLON5	
																																									MIRLET7E	
																																									MIR125A	
																																									MIR150	
																																									MIR99B	
																																									PSG8	
																																									TARM1	
																																									MIR330	
																																									MIR371A	
																																									MIR372	
																																									MIR373	
																																									IGFL4	
																																									A1BG-AS1	
																																									DPRX	
																																									DUXA	
																																									ASPDH	
																																									MIR512-1	
																																									MIR512-2	
																																									MIR498	
																																									MIR520E	
																																									MIR515-1	
																																									MIR519E	
																																									MIR520F	
																																									MIR515-2	
																																									MIR519C	
																																									MIR520A	
																																									MIR526B	
																																									MIR519B	
																																									MIR525	
																																									MIR523	
																																									MIR518F	
																																									MIR520B	
																																									MIR518B	
																																									MIR526A1	
																																									MIR520C	
																																									MIR518C	
																																									MIR524	
																																									MIR517A	
																																									MIR519D	
																																									MIR521-2	
																																									MIR520D	
																																									MIR517B	
																																									MIR520G	
																																									MIR516B2	
																																									MIR526A2	
																																									MIR518E	
																																									MIR518A1	
																																									MIR518D	
																																									MIR516B1	
																																									MIR518A2	
																																									MIR517C	
																																									MIR520H	
																																									MIR521-1	
																																									MIR522	
																																									MIR519A1	
																																									MIR527	
																																									MIR516A1	
																																									MIR516A2	
																																									MIR519A2	
																																									KLKP1	
																																									TMEM91	
																																									LOC643669	
																																									SCGB1B2P	
																																									SDHAF1	
																																									LOC644189	
																																									LOC644554	
																																									LOC646508	
																																									SBK2	
																																									LOC646862	
																																									PSG10P	
																																									LGALS7B	
																																									PHLDB3	
																																									SEC1	
																																									SNORD23	
																																									SNORD88A	
																																									SNORD88B	
																																									SNORD88C	
																																									MIR641	
																																									MIR642A	
																																									MIR643	
																																									RPL13AP5	
																																									LOC728752	
																																									CCDC61	
																																									CEACAM18	
																																									SHISA7	
																																									FLJ30403	
																																									ZNF814	
																																									MIR769	
																																									SIGLEC14	
																																									MIMT1	
																																									MIR935	
																																									SNAR-G1	
																																									SNAR-F	
																																									SNAR-A1	
																																									SNAR-A2	
																																									SNAR-A12	
																																									LOC100128252	
																																									LOC100128398	
																																									LOC100128675	
																																									LOC100128682	
																																									LOC100129083	
																																									LOC100129935	
																																									SCGB2B3P	
																																									SGK110	
																																									BSPH1	
																																									LOC100131691	
																																									LOC100134317	
																																									PEG3-AS1	
																																									SNAR-A3	
																																									SNAR-A5	
																																									SNAR-A7	
																																									SNAR-A11	
																																									SNAR-A9	
																																									SNAR-A4	
																																									SNAR-A6	
																																									SNAR-A8	
																																									SNAR-A13	
																																									SNAR-A10	
																																									SNAR-B2	
																																									SNAR-C2	
																																									SNAR-C4	
																																									SNAR-E	
																																									SNAR-C5	
																																									SNAR-B1	
																																									SNAR-C1	
																																									SNAR-C3	
																																									SNAR-D	
																																									SNAR-G2	
																																									SRRM5	
																																									C19orf69	
																																									SNAR-A14	
																																									ERVV-2	
																																									LOC100287177	
																																									LOC100289650	
																																									ZNF587B	
																																									MIR1283-2	
																																									MIR1323	
																																									MIR1283-1	
																																									LOC100379224	
																																									MIR3191	
																																									MIR3190	
																																									MIR320E	
																																									MIR4324	
																																									MIR4323	
																																									MIR642B	
																																									LOC100505495	
																																									LOC100505622	
																																									LOC100505681	
																																									LOC100505715	
																																									LOC100505812	
																																									LOC100506012	
																																									LOC100506033	
																																									LOC100506068	
																																									LOC100506469	
																																									LOC100506930	
																																									LOC100507003	
																																									ZNF865	
																																									LOC100507433	
																																									THEG5	
																																									ZNF816-ZNF321P	
																																									MIA-RAB4B	
																																									RAB4B-EGLN2	
																																									APOC4-APOC2	
																																									MIR4530	
																																									MIR4754	
																																									MIR4752	
																																									MIR371B	
																																									MIR4749	
																																									MIR4750	
																																									MIR4531	
																																									MIR4751	
																																									LOC100631378	
																																									LOC100652909	
