cytoband	8p23.3	12q24.33	8p11.22	1p35.3	16q24.2	2q37.3	2p25.3	19p13.3	22q12.3	9p21.3	20q13.13	1q21.3	1p35.1	7q36.3	6p25.1	3p14.2	4q34.3	10q26.3	11p15.4	18q23	10p15.3	11q25	6q25.3	3q22.3	1p36.32	19p13.12	15q11.2	15q21.3	22q13.33	2q22.1	
																														ACMSD	
																														ICA1L	
																														FAM168B	
																														CIB4	
																														REG3G	
																														RFTN2	
																														C2orf63	
																														PLEKHH2	
																														AP1S3	
																														C2orf76	
																														SGPP2	
																														ACVR1C	
																														OSR1	
																														TTC32	
																														UBR3	
																														KCTD18	
																														ALS2CR12	
																														ZNF513	
																														SPATA3	
																														LYPD6	
																														LYPD6B	
																														GALM	
																														TMEM198	
																														ZFAND2B	
																														TMEM178	
																														CPO	
																														MDH1B	
																														C2orf50	
																														PQLC3	
																														TMEM182	
																														AHSA2	
																														FBXO36	
																														MTERFD2	
																														CCDC148	
																														C2orf65	
																														MYO3B	
																														TMEM37	
																														UBE2F	
																														DUSP19	
																														TTL	
																														CKAP2L	
																														CBWD2	
																														TEKT4	
																														LOC150527	
																														FLJ32063	
																														LOC150568	
																														SMYD1	
																														C2orf15	
																														LOC150622	
																														OTOS	
																														MYEOV2	
																														OR6B3	
																														COMMD1	
																														PROM2	
																														ANKAR	
																														FBXO41	
																														TTC30B	
																														GPAT2	
																														ITPRIPL1	
																														LOC150776	
																														WTH3DI	
																														FAM117B	
																														TCF23	
																														LOC150935	
																														FAM59B	
																														PUS10	
																														PKI55	
																														LINC00309	
																														LOC151009	
																														SEPT10	
																														C2orf67	
																														PLB1	
																														ZSWIM2	
																														ZNF385B	
																														LOC151171	
																														LOC151174	
																														ARL6IP6	
																														METTL21A	
																														CCNYL1	
																														KLHL23	
																														SULT1C2P1	
																														PPP1R1C	
																														SGOL2	
																														ALS2CR11	
																														SLC38A11	
																														CCDC140	
																														SLC23A3	
																														LOC151300	
																														GPBAR1	
																														FAHD2B	
																														MYADML	
																														FAM84A	
																														FAM82A1	
																														GDF7	
																														SLC16A14	
																														LOC151475	
																														LINC00471	
																														LOC151484	
																														MSL3P1	
																														ASPRV1	
																														WDSUB1	
																														UPP2	
																														LOC151534	
																														GPR155	
																														WDR69	
																														LONRF2	
																														CCDC138	
																														GPR113	
																														C2orf57	
																														OXER1	
																														FAM179A	
																														FAM171B	
																														C1QL2	
																														UBXN2A	
																														CLEC4F	
																														DQX1	
																														KCNG3	
																														CYS1	
																														FOXD4L1	
																														PCDP1	
																														VWA3B	
																														CREG2	
																														ALMS1P	
																														TET3	
																														GKN2	
																														C2orf51	
																														ANKRD23	
																														APLF	
																														PIKFYVE	
																														KRTCAP3	
																														LOC200726	
																														TMEM17	
																														SPRED2	
																														TIGD1	
																														LOC200772	
																														FAM123C	
																														LINC00116	
																														C2orf69	
																														HNRNPA3	
																														SPDYA	
																														ATP6V1C2	
																														RNASEH1	
																														LCLAT1	
																														CCDC75	
																														CERS6	
																														METAP1D	
																														LOC254128	
																														LYG2	
																														CCDC108	
																														C2orf72	
																														SH2D6	
																														LOC284950	
																														CCDC150	
																														RNF149	
																														LOC284998	
																														LOC285000	
																														FAM150B	
																														CCDC141	
																														LOC285033	
																														LINC00486	
																														C2orf61	
																														LOC285074	
																														LOC285084	
																														CXXC11	
																														LOC285103	
																														DNAJC5G	
																														IAH1	
																														FLJ33534	
																														CYP1B1-AS1	
																														FAM126B	
																														UNC80	
																														RUFY4	
																														PLGLA	
																														RGPD4	
																														DUSP28	
																														STON1-GTF2A1L	
																														SPOPL	
																														MLK7-AS1	
																														CYP27C1	
																														ESPNL	
																														C2orf70	
																														C2orf53	
																														LOC339788	
																														LINC00299	
																														LOC339803	
																														C2orf74	
																														LOC339807	
																														LOC339822	
																														MSGN1	
																														C2orf55	
																														FIGLA	
																														NOTO	
																														NCKAP5	
																														FOXI3	
																														EVX2	
																														CDKL4	
																														PRORSD1P	
																														AOX2P	
																														SH3RF3	
																														GPR148	
																														ECEL1P2	
																														LRRTM1	
																														GEN1	
																														C2orf48	
																														FONG	
																														LOC348761	
																														PFN4	
																														LOC375190	
																														LOC375196	
																														ANKRD36	
																														WASH2P	
																														RBM43	
																														LOC375295	
																														CERKL	
																														C2orf62	
																														RBM44	
																														AQP12A	
																														ZC3H6	
																														KLHL30	
																														LOC386597	
																														MFSD2B	
																														C2orf71	
																														LOC388942	
																														LOC388946	
																														LOC388948	
																														TSPYL6	
																														C2orf78	
																														BOLA3	
																														C2orf81	
																														FUNDC2P2	
																														C2orf68	
																														SLC9A4	
																														LOC389023	
																														LOC389033	
																														LOC389043	
																														SP5	
																														PLEKHM3	
																														C2orf80	
																														RESP18	
																														C2orf82	
																														OR6B2	
																														PTRHD1	
																														SULT6B1	
																														DYTN	
																														LOC400940	
																														LINC00487	
																														FLJ12334	
																														LOC400950	
																														UNQ6975	
																														EML6	
																														FLJ30838	
																														FLJ16341	
																														LOC400958	
																														PCBP1-AS1	
																														PAIP2B	
																														RGPD1	
																														FLJ42351	
																														LOC401010	
																														DKFZp686O1327	
																														LOC401022	
																														FSIP2	
																														C2orf66	
																														ASB18	
																														FLJ43879	
																														VWC2L	
																														MIR10B	
																														MIR128-1	
																														MIR149	
																														MIR153-1	
																														MIR216A	
																														MIR217	
																														MIR26B	
																														C2orf27B	
																														DNAJB3	
																														ASTL	
																														CAPN14	
																														ACTR3BP2	
																														LOC440894	
																														LOC440895	
																														LOC440900	
																														LOC440905	
																														LOC440910	
																														POTEKP	
																														LOC440925	
																														LOC442028	
																														SULT1C3	
																														POTEE	
																														COA5	
																														PHOSPHO2	
																														CHAC2	
																														MIR375	
																														DFNB59	
																														LOC541471	
																														LOC554201	
																														ANKRD30BL	
																														FBXO48	
																														SNORA41	
																														FAM110C	
																														LOC643387	
																														PRR21	
																														LOC644838	
																														GGT8P	
																														ANKRD36BP2	
																														LOC645949	
																														LOC646324	
																														LOC646736	
																														LOC646743	
																														PRSS56	
																														LOC647012	
																														C2orf84	
																														TRIM43B	
																														CFC1B	
																														AQP12B	
																														RGPD3	
																														MZT2A	
																														SNORA75	
																														LOC654342	
																														FAM138B	
																														LOC654433	
																														SCARNA6	
																														SCARNA5	
																														SNORD11	
																														SNORD70	
																														SNORD89	
																														SNORD92	
																														SNORD94	
																														MIR558	
																														MIR559	
																														MIR561	
																														RGPD8	
																														LOC727982	
																														D2HGDH	
																														LOC728323	
																														POTEF	
																														LOC728537	
																														LOC728730	
																														PABPC1P2	
																														LOC728819	
																														LOC729121	
																														ANKRD20A8P	
																														LOC729234	
																														RAD51AP2	
																														RGPD6	
																														DIRC3	
																														DNAJC27-AS1	
																														RGPD2	
																														MORN2	
																														LOC730811	
																														RFX8	
																														SNORD11B	
																														SNORA36C	
																														SNORA70B	
																														MIR216B	
																														MIR933	
																														LOC100128590	
																														OST4	
																														LOC100129175	
																														LOC100129726	
																														LOC100129961	
																														PP14571	
																														LOC100130451	
																														LOC100130452	
																														LOC100130691	
																														TMEM194B	
																														LOC100131320	
																														SP9	
																														LOC100132215	
																														CYP4F30P	
																														LOC100133985	
																														LOC100134259	
																														LOC100144595	
																														RNU4ATAC	
																														DBIL5P2	
																														SNAR-H	
																														LOC100189589	
																														LOC100216479	
																														ARHGEF33	
																														LOC100271832	
																														LIMS3-LOC440895	
																														LOC100286922	
																														LOC100286979	
																														LOC100287010	
																														LOC100287216	
																														LOC100288570	
																														LIMS3L	
																														LOC100288911	
																														MIR1471	
																														MIR1246	
																														MIR548N	
																														MIR1258	
																														MIR1245A	
																														MIR1301	
																														MIR1244-1	
																														LOC100302650	
																														GPR75-ASB3	
																														SNORA80B	
																														ZEB2-AS1	
																														MIR548F2	
																														MIR663B	
																														LOC100329109	
																														SNORA70F	
																														BOK-AS1	
																														MIR3128	
																														MIR4265	
																														MIR1244-3	
																														MIR1244-2	
																														MIR4264	
																														MIR3129	
																														MIR3127	
																														MIR4261	
																														MIR3131	
																														MIR4268	
																														MIR4263	
																														MIR3125	
																														MIR3130-1	
																														MIR4267	
																														MIR4262	
																														MIR3130-2	
																														MIR4266	
																														MIR3126	
																														MIR2355	
																														MIR3132	
																														MIR4269	
																														LOC100499194	
																														MIR3606	
																														MIR3682	
																														MIR3679	
																														LOC100505624	
																														LOC100505695	
																														LOC100505716	
																														LOC100505876	
																														LOC100505964	
																														LOC100506054	
																														LOC100506123	
																														LOC100506124	
																														LOC100506134	
																														LOC100506274	
																														LOC100506421	
																														LOC100506474	
																														LOC100506783	
																														LOC100506866	
																														LOC100507140	
																														BOLA3-AS1	
																														LOC100507334	
																														LOC100507443	
																														LOC100507600	
																														LY75-CD302	
																														RNF103-CHMP3	
																														NT5C1B-RDH14	
																														PHOSPHO2-KLHL23	
																														HSPE1-MOB4	
																														INO80B-WBP1	
																														UBE2F-SCLY	
																														MIR4436B1	
																														MIR4772	
																														MIR4779	
																														MIR4783	
																														MIR4439	
																														MIR4782	
																														MIR4437	
																														MIR4765	
																														MIR4776-1	
																														MIR4757	
																														MIR4777	
																														MIR1245B	
																														MIR4435-2	
																														MIR4426	
																														MIR4774	
																														MIR2467	
																														MIR4775	
																														MIR4785	
																														MIR4784	
																														MIR4773-1	
																														MIR4444-1	
																														MIR4440	
																														MIR4436A	
																														MIR4786	
																														MIR4773-2	
																														MIR4434	
																														MIR4780	
																														MIR4778	
																														MIR4429	
																														MIR4776-2	
																														MIR4432	
																														MIR548AD	
																														MIR4441	
																														MIR4435-1	
																														LOC100630918	
																														LOC100861402	
