cytoband	3q28	3q26.33	19q13.2	11q13.3	8q24.22	17q24.3	5p14.3	9p21.1	5p13.2	18q21.2	5p15.2	13q33.1	7p21.1	1q21.2	17q11.2	7p11.2	14q31.1	14q13.3	7q31.32	
														KIRREL					POLR2J3	
														TMEM206					MIR489	
														YY1AP1					MIR490	
														YOD1					ZNF862	
														BATF3					LOC645249	
														SLC30A10					LOC645591	
														UBE2Q1					AZGP1P1	
														ITLN1					LOC646329	
														IARS2					C7orf73	
														IPO9					ACTR3C	
														C1orf112					MIR591	
														HHAT					MIR592	
														ENAH					MIR593	
														NUP133					MIR595	
														RCOR3					LOC723809	
														C1orf106					MIR653	
														FAM63A					LOC728066	
														ADCY10					LOC728377	
														DCAF6					LOC728743	
														ASH1L					SPDYE6	
														LENEP					TMEM229A	
														SLC50A1					LOC730441	
														SERTAD4					LUZP6	
														ERO1LB					MIR671	
														FMN2					LOC100124692	
														SLAMF8					LOC100128264	
														CDC42SE1					CTAGE4	
														UBQLN4					LOC100128822	
														SMYD2					LOC100129148	
														LHX9					RPL19P12	
														OTUD7B					LOC100129845	
														ADCK3					LOC100130705	
														RAB25					EFCAB10	
														PGLYRP4					LOC100130880	
														RHBG					LOC100131176	
														SCYL3					LOC100132707	
														GJC2					LOC100134229	
														CAMK1G					LOC100134713	
														ATP8B2					UPK3BL	
														VANGL2					LOC100216545	
														FAM91A2					LOC100216546	
														PBXIP1					LOC100287482	
														S100A14					MOXD2P	
														GATAD2B					LOC100289187	
														CGN					LOC100289561	
														IGSF9					ZNF783	
														SIPA1L2					MIR548F3	
														ZNF687					MIR548I4	
														POGK					SPDYE2L	
														HCN3					MIR548F4	
														KIAA1614					SAP25	
														FAM5B					MIR548T	
														C1orf114					MIR4285	
														SLAMF7					MTRNR2L6	
														ZP4					MIR3609	
														CADM3					MIR3907	
														RHOU					MIR3666	
														PRUNE					LOC100505483	
														KLHL12					LOC100506136	
														LGR6					LOC100506585	
														HAPLN2					LOC100507421	
														GAS5					ATP5J2-PTCD1	
														PAPPA2					GIMAP1-GIMAP5	
														BCAN					MIR4653	
														TNN					MIR4652	
														MRPS14					MIR4468	
														SEMA4A					MIR4467	
														TOR3A					MIR4658	
														RFWD2					LOC100630923	
														RGS18					CYP3A7-CYP3AP1	
														NUCKS1						
														ACBD3						
														MARC1						
														ARV1						
														AIDA						
														MRPL9						
														JMJD4						
														INTS3						
														SCNM1						
														C1orf116						
														MGC4473						
														C1orf35						
														FCRL2						
														TTC13						
														CDC73						
														MRPL24						
														PGBD5						
														TNFAIP8L2						
														C1orf54						
														C1orf115						
														HHIPL2						
														VASH2						
														PAQR6						
														PCNXL2						
														TRIM46						
														C1orf129						
														TARS2						
														WDR26						
														EDEM3						
														FLAD1						
														TRAF3IP3						
														NPL						
														OR6N2						
														OR6K2						
														CFHR5						
														TRIM11						
														C1orf21						
														PVRL4						
														SNX27						
														ANP32E						
														SHCBP1L						
														TRMT1L						
														NUAK2						
														ISG20L2						
														FCRL5						
														FCRL4						
														DDX59						
														NUF2						
														RASSF5						
														HMCN1						
														MIXL1						
														C1orf124						
														FCAMR						
														OBSCN						
														C1orf49						
														HORMAD1						
														TOMM40L						
														POLR3GL						
														TMEM79						
														NTPCR						
														ACBD6						
														KIAA1804						
														ZBTB37						
														LCE3D						
														LINC00260						
														LINC00467						
														FCRLA						
														ANKRD36BP1						
														C1orf198						
														PPP1R15B						
														MAEL						
														DISP1						
														RGS8						
														SLC45A3						
														WNT3A						
														NAV1						
														SEC16B						
														AQP10						
														LHX4						
														SLAMF9						
														PYGO2						
														ANGEL2						
														IGFN1						
														NUP210L						
														CENPL						
														DUSP27						
														RCSD1						
														MEX3A						
														METTL18						
														GORAB						
														C1orf105						
														TMEM183A						
														HIST3H2A						
														PIGM						
														IGSF8						
														LEMD1						
														C1orf85						
														PGLYRP3						
														GNRHR2						
														SLAMF6						
														SLC26A9						
														FCRL1						
														FCRL3						
														FMO9P						
														TSEN15						
														FAM129A						
														SNAP47						
														TADA1						
														THEM4						
														SH2D1B						
														GABPB2						
														TCHHL1						
														RPTN						
														TDRD10						
														SHE						
														C1orf96						
														KLHDC9						
														AXDND1						
														HIST2H3C						
														LYPLAL1						
														ATP6V1G3						
														OR10J5						
														DCST2						
														DNAH14						
														ZNF648						
														TEDDM1						
														ARL8A						
														SYT2						
														LOC127841						
														GOLT1A						
														UHMK1						
														FCRLB						
														C1orf131						
														LIX1L						
														SPATA17						
														EDARADD						
														C1orf182						
														IQGAP3						
														APOA1BP						
														MRPL55						
														HIST3H2BB						
														OR10T2						
														OR6P1						
														OR10X1						
														OR10Z1						
														OR6K6						
														OR6N1						
														TATDN3						
														S100A16						
														NEK7						
														ITLN2						
														C1orf74						
														CREB3L4						
														BROX						
														C1orf51						
														SLC35F3						
														LOC148696						
														LOC148709						
														PTPRVP						
														HFE2						
														ANKRD35						
														FAM163A						
														B3GALNT2						
														MFSD4						
														PM20D1						
														LELP1						
														RC3H1						
														DCST1						
														CNIH3						
														METTL11B						
														FAM78B						
														SHISA4						
														EXOC8						
														BNIPL						
														LRRC71						
														RNF187						
														PYHIN1						
														C1orf227						
														FAM71A						
														DENND1B						
														TDRD5						
														TOR1AIP2						
														SPRR4						
														C1orf55						
														PPIAL4A						
														TTC24						
														C1orf65						
														PDIA3P						
														LCE4A						
														NBPF11						
														NUDT17						
														FLJ23867						
														KRTCAP2						
														CRTC2						
														IBA57						
														TMEM9						
														SLC41A1						
														LCE5A						
														SYT14						
														ARHGAP30						
														C1orf192						
														ASPM						
														TIPRL						
														RIIAD1						
														THEM5						
														SLC9A11						
														NBPF15						
														LINC00303						
														LOC284576						
														LOC284578						
														LOC284581						
														ANKRD34A						
														RUSC1-AS1						
														LOC284648						
														DKFZP564C196						
														C1orf204						
														C1orf111						
														LOC284688						
														LIN9						
														HIST2H2AB						
														HIST2H3A						
														HIST2H2BC						
														HIST2H2BA						
														S100A7A						
														LINGO4						
														RXFP4						
														ANKRD45						
														FAM5C						
														ZNF678						
														PRSS38						
														C1orf110						
														FAM58BP						
														LOC339535						
														RD3						
														OR10R2						
														FCRL6						
														KCNT2						
														LCE1A						
														LCE1B						
														LCE1C						
														LCE1D						
														LCE1E						
														LCE1F						
														LCE2A						
														LCE2C						
														LCE2D						
														LCE3A						
														LCE3B						
														LCE3C						
														LCE3E						
														RGSL1						
														IRF2BP2						
														ZBTB41						
														CYCSP52						
														LOC375010						
														PEAR1						
														SFT2D2						
														MIA3						
														C1orf95						
														FAM89A						
														RPS10P7						
														ILDR2						
														NOTCH2NL						
														FLJ39739						
														LOC388692						
														LYSMD1						
														HRNR						
														FLG2						
														C1orf189						
														FMO6P						
														LINC00272						
														C1orf53						
														TMEM81						
														CAPN8						
														C1orf31						
														VHLL						
														OR10K2						
														OR10K1						
														OR6Y1						
														OR6K3						
														VSIG8						
														C1orf226						
														LOC400794						
														C1orf220						
														C1orf140						
														NBPF9						
														FAM177B						
														LOC401980						
														ZNF847P						
														APOBEC4						
														MIR181B1						
														MIR194-1						
														MIR199A2						
														MIR205						
														MIR181A1						
														MIR214						
														MIR215						
														MIR29B2						
														MIR29C						
														MIR9-1						
														RGS21						
														HIST2H2BF						
														ETV3L						
														LRRC52						
														LOC440700						
														LOC440704						
														C1orf186						
														TRIM67						
														H3F3AP4						
														OR10J3						
														MIR135B						
														KPRP						
														LCE6A						
														SUMO1P3						
														C1orf98						
														HIST2H4B						
														DUSP5P						
														C1orf133						
														PRR9						
														MIR488						
														SNORD74						
														RPL31P11						
														LOC641515						
														MIR205HG						
														FLVCR1-AS1						
														LOC643723						
														PPIAL4G						
														PPIAL4D						
														LOC645166						
														SNRPD2P2						
														LOC645676						
														POU5F1P4						
														RPS7P5						
														S100A7L2						
														LOC646268						
														EMBP1						
														SRGAP2P2						
														PPIAL4B						
														LOC653513						
														GPR89A						
														PPIAL4C						
														HIST2H3D						
														TMEM183B						
														FAM72B						
														PCP4L1						
														SCARNA3						
														SCARNA4						
														SNORA14B						
														SNORA36B						
														SNORA42						
														SNORA77						
														SNORA16B						
														SNORD75						
														SNORD76						
														SNORD77						
														SNORD78						
														MIR554						
														MIR555						
														MIR556						
														MIR557						
														MIR92B						
														HIST2H2AA4						
														LOC728463						
														FAM72D						
														LOC728855						
														LOC728875						
														NBPF24						
														GPR89C						
														NBPF16						
														PDZK1P1						
														PPIAL4F						
														LOC728989						
														FAM72A						
														LOC730102						
														LOC730159						
														LOC730227						
														PPIAL4E						
														PFN1P2						
														MIR765						
														MIR190B						
														MIR921						
														C1orf68						
														MSTO2P						
														LOC100130000						
														LOC100130093						
														LOC100130331						
														TSTD1						
														LOC100131234						
														LOC100131825						
														LOC100132111						
														NBPF10						
														FCGR1C						
														C2CD4D						
														LOC100286793						
														LOC100287814						
														LGALS8-AS1						
														GM140						
														LOC100288079						
														LOC100289211						
														MIR1182						
														MIR1537						
														MIR1231						
														MIR1278						
														MIR1295A						
														MIR548F1						
														MIR664						
														LOC100302401						
														LINC00184						
														TSNAX-DISC1						
														MIR320B2						
														ZBED6						
														MIR3119-1						
														MIR3120						
														MIR4260						
														MIR3122						
														MIR4257						
														MIR3119-2						
														MIR4258						
														MIR3121						
														MIR3620						
														MIR3658						
														LOC100505633						
														LOC100505666						
														LOC100505795						
														PROX1-AS1						
														LOC100505918						
														LOC100506023						
														LOC100506046						
														KDM5B-AS1						
														LOC100506795						
														LOC100506810						
														PMF1-BGLAP						
														LOC100527964						
														TNFAIP8L2-SCNM1						
														MIR4753						
														MIR4666A						
														MIR4424						
														MIR4735						
														MIR4671						
														MIR4654						
														MIR4427						
														MIR4742						
														DNM3OS						
														LINC00538						
